canon_id,Link Score,union_name,union_city,union_state
541810,1.0,act 120 local 120,springfield,il
519100,0.9999995,act local 106,springfield,il
,,act local n/a,green cove springs,fl
543096,1.0,act-uaw 7902,new york,ny
6029,1.0,actor's equity association-n/a,new york,ny
6029,1.0,actors equity association,new york,ny
6029,0.9972012,actors equity association local,chicago,il
6029,0.9999514,actors equity association local,north hollywood,ca
6029,1.0,actors equity association local n/a,new york,ny
6029,1.0,actors equity association n/a,new york,ny
6029,0.9999514,actors equity association-,north hollywood,ca
6029,1.0,actors equity-,new york,ny
6029,1.0,actors' equity assoc. local,new york,ny
6029,0.9972012,actors' equity association,chicago,il
6029,1.0,actors' equity association,new york,ny
6029,1.0,actors' equity association,new york city,ny
6029,1.0,actors' equity association local n/a,new york,ny
6029,0.9999514,actors' equity association local n/a,north hollywood,ca
11398,0.03118395,adc 1/bac-21,elmhurst,il
513391,7.0520464e-08,adc1 iliu/bac 1,elmhurst,il
513391,7.0520464e-08,adc1 iliu/bac-1,elmhurst,il
11398,3.5539524e-05,adc1-21,elmhurst,il
,,adit-,andover,mn
543480,0.41309294,adjuncts united 37955,east syracuse,ny
513391,0.02066249,administrative district council 1 of illinois of the international union of bricklayers & allied,elmhurst,il
546519,1.3564529e-17,adtsa (nysut)-,kingston,ny
,,aea local,new york,ny
,,aea-,chicago,il
,,aea-,new york,ny
15987,0.063317336,aemtc - laborers-846,tullahoma,tn
57505,0.9705879,aemtc / ibew-2113,tullahoma,tn
,,aemtc-n/a,tullahoma,tn
34980,0.99999994,aerospace machinists industrial district-751,seattle,wa
6141,2.3871974e-12,aerospace professional staff association,hawthorne,ca
6141,2.3153208e-13,aerospace professional staff association (apsa),hawthorne,ca
6141,2.3871974e-12,aerospace professional staff association local n/a,hawthorne,ca
6141,2.3871974e-12,aerospace professional staff association-n/a,hawthorne,ca
,,afcea-,ashland,or
544112,0.010164886,afcsme council 28,olympia,wa
545996,1.8196117e-09,afea-nysut                       -,kingston,ny
,,"affi-iaff, warrenville professional firefighters association 5036",warrenville,il
,,affiliated field representatives,portland,or
542879,1.0,afge,washington,dc
,,afge,,
502275,0.9999996,afge  11th district  1689,brush prairie,wa
501877,1.0,afge  2017,fort gordon,ga
502249,0.9897147,afge (c-33)-1145,atlanta,ga
501929,2.9172228e-05,afge - acc-ri ar3823 local 15,rock arsenal,il
503509,0.9998621,afge - council of prisons-683,sandstone,mn
501929,0.7085552,afge - first army local 15,rock island,il
501929,0.7085552,afge - first army-15,rock island,il
511431,6.738862e-11,afge - national citizenship and immigration services council,washington,dc
501360,1.0,afge -1042,roseburg,or
543280,1.0,afge -1217,herlong,ca
501042,1.0,afge -32,washington,dc
540238,1.0,afge -4051,manchester,ky
502138,1.0,afge -709,littleton,co
501004,1.0,afge 1764,"travis afb,",ca
501565,1.0,afge 1858,redstone arsenal,al
501092,1.0,afge 1923,washington,dc
502256,1.0,afge 2338,poplar bluff,mo
503454,1.0,afge 2814,mayville,mi
503729,1.0,afge 2923,durham,nc
503729,1.0,afge 2923,research triangle park,nc
501591,1.0,afge 2999,st. paul,mn
540967,1.0,afge 4042,hewitt,tx
502007,1.0,afge 547,tampa,fl
43216,2.8716416e-09,afge afl-cio district 6,indianapolis,in
503845,1.0,afge afl-cio local 3254,bunker hill,in
517670,1.0,afge afl-cio local 3854,march air reserve base,ca
52679,6.7336644e-12,afge afl-cio local n/a,washington,dc
52679,6.7336644e-12,afge afl-cio n/a,washington,dc
,,afge afl-cio-n/a,baltimore,md
,,afge afl-cio-n/a,minneapolis,mn
,,afge afl-cio-n/a,raleigh,nc
52679,6.7336644e-12,afge afl-cio-n/a,washington,dc
52679,5.024171e-13,afge afl-cio-n/a,washintgon,dc
,,afge afl-cio-n/a,,
,,afge council 170,hill afb,ut
48527,0.03278182,afge council 170,manhattan beach,ca
,,afge council 170,taylorsville,ut
,,afge council 170 c170,hill afb,ut
501047,0.9974364,afge council 249-2157/2583,tacoma,wa
507045,0.0110235745,afge council-170,harris,mn
545388,0.99999934,afge cpl 33-4070,thomson,il
502140,0.9847105,afge cpl-33-0817,lexington,ky
540119,0.99999,afge cpl33-0801,waseca,mn
501721,0.99706554,afge local,iron mountain,mi
542879,1.0,afge local,washington,dc
503214,1.0,afge local 1395,chicago,il
501929,1.0,afge local 15,rock island,il
502399,1.0,afge local 1502,jblm,wa
502399,1.0,afge local 1502-,dupont,wa
501092,1.0,afge local 1923,frederick,md
501392,1.0,afge local 1945,bynum,al
501865,1.0,afge local 1978,boulder  city,nv
502165,1.0,afge local 2065,camp lejeune,nc
502165,1.0,afge local 2065,jacksonville,nc
501909,1.0,afge local 2609,great falls,mt
502345,1.0,afge local 2959,little rock,ar
503640,1.0,afge local 3247,peoria,il
505383,1.0,afge local 3302,glen burnie,md
510067,1.0,afge local 3571,bloomington,in
510067,1.0,afge local 3571,indianapolis,in
545426,1.0,afge local 622,omaha,il
502446,0.8984092,afge local n/a,georgetown,ga
512674,0.99776006,afge local n/a,jacksonville,fl
540288,0.9959412,afge n/a,macdill afb,fl
542879,1.0,afge n/a,washington,dc
502016,0.99999934,afge ncfll-648,chicago,il
546608,4.1281299e-13,afge office of the general counsel local n/a,washington,dc
501722,1.0,afge union 2185,tooele,ut
501092,0.9999997,"afge, afl-cio-1923",indian head,md
52679,5.024171e-13,"afge, afl-cio-n/a",washintgon,dc
503041,0.99706554,afge-,hot springs,sd
501721,0.99706554,afge-,iron mountain,mi
513782,0.9714072,afge-,ottumwa,ia
542879,1.0,afge-,washington,dc
,,afge-,,
501779,1.0,afge- american federation of government employees-85,leavenworth,ks
542688,1.0,afge-0408,butner,nc
541458,1.0,afge-0507,riviera beach,fl
502007,1.0,afge-0547,tampa,fl
542308,1.0,afge-1030,houston,tx
541538,1.0,afge-1106,atlanta,ga
542378,1.0,afge-1108,spokane,wa
,,afge-1111,jber,ak
544615,1.0,afge-1112,fountain,co
501145,1.0,afge-1148,collumbus,oh
502258,1.0,afge-1296,columbus,ms
501918,1.0,afge-1346,lacrosse,wi
503214,1.0,afge-1395,chicago,il
503214,1.0,afge-1395,minneapolis,mn
501929,1.0,afge-15,rock island,il
501435,1.0,afge-1534,washington,dc
503041,1.0,afge-1539,hot springs,sd
502360,1.0,afge-1570,tallahassee,fl
529031,1.0,afge-1594,bay pines,fl
503397,1.0,afge-1658,warren,mi
503621,1.0,afge-1662,ft. huachuca,az
503621,1.0,afge-1662,phoenix,az
503696,1.0,afge-17,washington,dc
542290,1.0,afge-170,newton,ma
501864,1.0,afge-1744,indianapolis,in
501701,1.0,afge-1748,kansas city,mo
501004,1.0,afge-1764,travis afb,ca
501332,1.0,afge-1770,fort bragg,nc
501088,1.0,afge-1867,usaf academy,co
504076,1.0,afge-1882,fort mccoy,wi
512428,1.0,afge-1911,springfield,or
501092,1.0,afge-1923,baltimore,md
501092,1.0,afge-1923,frederick,md
503766,1.0,afge-1963,danville,il
542501,1.0,afge-200,atlantic city,nj
542501,1.0,afge-200,hastings,ne
501924,1.0,afge-2002,glynco,ga
501527,1.0,afge-2022,clarksville,tn
501527,1.0,afge-2022,fort campbell,ky
528330,1.0,afge-2119,rock island,il
542668,1.0,afge-2138,west haven,ct
501880,1.0,afge-2157,portland,or
501436,1.0,afge-2297,los angeles,ca
505353,1.0,afge-2326,chicago,il
503811,1.0,afge-2341,new orleans,la
502880,1.0,afge-2342,fort meade,sd
503330,1.0,afge-2361,whiteman afb,mo
501206,1.0,afge-2449,lorton,va
503220,1.0,afge-2477,pueblo,co
501794,1.0,afge-2568,washington,dc
501231,1.0,afge-2904,indianapolis,in
516784,1.0,afge-2930,buffalo,ny
501042,1.0,afge-32,washington,dc
505383,1.0,afge-3302,baltimore,md
504134,1.0,afge-3320,san antonio,tx
509398,1.0,afge-3428,boston,ma
510067,1.0,afge-3571,bloomington,in
510067,1.0,afge-3571,indianapolis,in
511953,1.0,afge-3696,clayton,nc
511924,1.0,afge-3731,memphis,tn
515615,1.0,afge-3882,ray brook,ny
526779,1.0,afge-3954,phoenix,az
519684,1.0,afge-3979,sheridan,or
540599,0.99999905,afge-405/3696/408,butner,nc
541561,1.0,afge-4060,washington,dc
